FRAME Reviewer Summary Table v2 
(with DT)

DT Values:
STRUCTURAL — ontology gap
BOUNDARY — scenario ambiguity
EXPECTED — irreducible judgment
NO‑ISSUE — unanimous or near‑unanimous 
-- cat: 1 or fewer votes are different from the other votes
-- other columns: 1 or fewer votes within +/-1 of center

#### Scenario 1

| Field | Ely | Copilot | Claude | ChatGPT | Gemini | Center | Spread | DT
| --- | --- | --- | --- | --- | --- | --- | --- |
| **cat** | 2 | C3 | 2 | C2 | C2 | 2 | 2×3, C3×1, C2×1 | N
| **mr** | 2 | 1 | 1 | 1 | 1 | 1 | min 1, max 2 | N
| **mp** | 1 | 2 | 2 | 2 | 2 | 2 | min 1, max 2 | N
| **m**  | 3 | 2 | 3 | 3 | 3 | 3 | min 2, max 3 | N
| **c**  | 1 | 2 | 1 | 2 | 2 | 2 | min 1, max 2 | N
| **s**  | 4 | 2 | 3 | 3 | 5 | 3 | min 2, max 5 | N
| **n**  | 0 | 0 | 0 | 0 | 1 | 0 | range 1      | S
| **b**  | 0 | 0 | 0 | 1 | 1 | 0 | range 1      | S
| **ec** | 1 | 3 | 1 | 1 | 1 | 1 | min 1, max 3 | E
| **ac** | 2 | 3 | 3 | 3 | 3 | 3 | min 2, max 3 | N
| **dd** | 1 | 3 | 2 | 4 | 1 | 2 | min 1, max 4 | E

---

#### Scenario 2

| Field | Ely | Copilot | Claude | ChatGPT | Gemini | Center | Spread | DT
| --- | --- | --- | --- | --- | --- | --- | --- |
| **cat** | 2 | C1 | 1 | C2 | C1 | C1 | C1×2, 2×1, 1×1, C2×1 | N
| **mr** | 0 | 0 | 0 | 0 | 0 | 0 | min 0, max 0 | N
| **mp** | 2 | 2 | 2 | 2 | 2 | 2 | min 2, max 2 | N
| **m**  | 2 | 1 | 2 | 2 | 2 | 2 | min 1, max 2 | N
| **c**  | 1 | 0 | 0 | 0 | 0 | 0 | min 0, max 1 | N
| **s**  | 2 | 2 | 3 | 2 | 2 | 2 | min 2, max 3 | N
| **n**  | 0 | 0 | 0 | 0 | 1 | 0 | range 1      | S
| **b**  | 0 | 0 | 0 | 1 | 1 | 0 | range 1      | S
| **ec** | 1 | 3 | 1 | 1 | 1 | 1 | min 1, max 3 | E
| **ac** | 2 | 2 | 3 | 3 | 4 | 3 | min 2, max 4 | E
| **dd** | 4 | 4 | 3 | 3 | 4 | 4 | min 3, max 4 | N

---

#### Scenario 3

| Field | Ely | Copilot | Claude | ChatGPT | Gemini | Center | Spread | DT
| --- | --- | --- | --- | --- | --- | --- | --- |
| **cat** | 1 | C1 | 1 | C2 | C1 | multi | 1×2, C1×2, C2×1 | N
| **mr** | 3 | 5 | 3 | 3 | 3 | 3 | min 3, max 5 | E
| **mp** | 2 | 5 | 2 | 2 | 0 | 2 | min 0, max 5 | E
| **m**  | 5 | 5 | 5 | 5 | 3 | 5 | min 3, max 5 | E
| **c**  | 1 | 4 | 5 | 1 | 2 | 2 | min 1, max 5 | B
| **s**  | 1 | 2 | 2 | 1 | 1 | 1 | min 1, max 2 | E
| **n**  | 0 | 1 | 0 | 0 | 1 | 0 | range 1      | S
| **b**  | 0 | 0 | 0 | 1 | 1 | 0 | range 1      | S
| **ec** | 1 | 4 | 1 | 1 | 1 | 1 | min 1, max 4 | B
| **ac** | 4 | 4 | 3 | 3 | 4 | 4 | min 3, max 4 | N
| **dd** | 1 | 2 | 1 | 1 | 1 | 1 | min 1, max 2 | N

---

#### Scenario 4

| Field | Ely | Copilot | Claude | ChatGPT | Gemini | Center | Spread | DT
| --- | --- | --- | --- | --- | --- | --- | --- |
| **cat** | 4 | C3 | 4 | C4 | C4 | 4 | 4×3, C3×1, C4×1 | B
| **mr** | 2 | 3 | 2 | 2 | 3 | 2 | min 2, max 3 | E
| **mp** | 2 | 3 | 1 | 1 | 0 | 1 | min 0, max 3 | E
| **m**  | 4 | 3 | 3 | 3 | 3 | 3 | min 3, max 4 | N
| **c**  | 1 | 2 | 2 | 1 | 0 | 1 | min 0, max 2 | E
| **s**  | 4 | 3 | 4 | 4 | 4 | 4 | min 3, max 4 | N
| **n**  | 0 | 0 | 0 | 0 | 1 | 0 | range 1      | S
| **b**  | 0 | 0 | 0 | 1 | 1 | 0 | range 1      | S
| **ec** | 1 | 4 | 1 | 1 | 1 | 1 | min 1, max 4 | E
| **ac** | 4 | 3 | 3 | 3 | 4 | 3 | min 3, max 4 | N
| **dd** | 1 | 3 | 1 | 4 | 1 | 1 | min 1, max 4 | E

---

#### Scenario 5

| Field | Ely | Copilot | Claude | ChatGPT | Gemini | Center | Spread | DT
| --- | --- | --- | --- | --- | --- | --- | --- |
| **cat** | 1 | C4 | 1 | C2 | C1 | 1 | 1×3, C4×1, C2×1 | B
| **mr** | 2 | 2 | 2 | 2 | 2 | 2 | min 2, max 2 | N
| **mp** | 1 | 2 | 1 | 1 | 0 | 1 | min 0, max 2 | E
| **m**  | 3 | 2 | 3 | 3 | 2 | 3 | min 2, max 3 | E
| **c**  | 1 | 1 | 0 | 0 | 0 | 0 | min 0, max 1 | N
| **s**  | 3 | 3 | 4 | 3 | 4 | 3 | min 3, max 4 | E
| **n**  | 0 | 0 | 0 | 0 | 1 | 0 | range 1      | S
| **b**  | 0 | 0 | 0 | 1 | 1 | 0 | range 1      | S
| **ec** | 1 | 4 | 1 | 1 | 1 | 1 | min 1, max 4 | E
| **ac** | 2 | 4 | 3 | 2 | 3 | 3 | min 2, max 4 | E
| **dd** | 2 | 2 | 3 | 3 | 2 | 2 | min 2, max 3 | N

---

#### Scenario 6

| Field | Ely | Copilot | Claude | ChatGPT | Gemini | Center | Spread | DT
| --- | --- | --- | --- | --- | --- | --- | ---      |
| **cat** | 2 | C2 | 2 | C2 | C2 | C2 | C2×3, 2×2    | N
| **mr** | 3 | 5 | 3 | 3 | 3 | 3 | min 3, max 5      | E
| **mp** | 2 | 5 | 2 | 2 | 2 | 2 | min 2, max 5      | E
| **m**  | 5 | 5 | 5 | 5 | 5 | 5 | min 5, max 5      | N
| **c**  | 5 | 5 | 5 | 2 | 5 | 5 | min 2, max 5      | B
| **s**  | 3 | 3 | 3 | 5 | 5 | 3 | min 3, max 5      | E
| **n**  | 1 | 1 | 2 | 0 | 2 | multi {1,2} | range 2 | S
| **b**  | 0 | 2 | 0 | 1 | 1 | multi {0,1} | range 2 | S
| **ec** | 1 | 3 | 1 | 1 | 1 | 1 | min 1, max 3      | B
| **ac** | 4 | 3 | 2 | 4 | 3 | 3 | min 2, max 4      | B
| **dd** | 1 | 4 | 5 | 5 | 5 | 5 | min 1, max 5      | B

---

#### Scenario 7

| Field | Ely | Copilot | Claude | ChatGPT | Gemini | Center | Spread | DT
| --- | --- | --- | --- | --- | --- | --- | --- |
| **cat** | 2 | C3 | 3 | C3 | C3 | C3 | C3×3, 2×1, 3×1 | B
| **mr** | 2 | 1 | 1 | 0 | 0 | 1 | min 0, max 2 | B
| **mp** | 1 | 2 | 2 | 1 | 0 | 1 | min 0, max 2 | B
| **m**  | 3 | 2 | 3 | 1 | 1 | 2 | min 1, max 3 | B
| **c**  | 1 | 1 | 0 | 0 | 0 | 0 | min 0, max 1 | N
| **s**  | 2 | 2 | 1 | 1 | 1 | 1 | min 1, max 2 | B
| **n**  | 0 | 0 | 0 | 0 | 1 | 0 | range 1      | S
| **b**  | 0 | 0 | 0 | 1 | 1 | 0 | range 1      | S
| **ec** | 1 | 3 | 1 | 1 | 1 | 1 | min 1, max 3 | E
| **ac** | 2 | 3 | 3 | 3 | 3 | 3 | min 2, max 3 | N
| **dd** | 3 | 3 | 3 | 4 | 3 | 3 | min 3, max 4 | N

---

#### Scenario 8

| Field | Ely | Copilot | Claude | ChatGPT | Gemini | Center | Spread | DT
| --- | --- | --- | --- | --- | --- | --- | --- |
| **cat** | 2 | C4 | 2 | C2 | C2 | multi | 2×2, C2×2, C4×1 | B
| **mr** | 3 | 4 | 3 | 3 | 3 | 3 | min 3, max 4 | N
| **mp** | 2 | 5 | 2 | 2 | 2 | 2 | min 2, max 5 | E
| **m**  | 5 | 4 | 5 | 5 | 5 | 5 | min 4, max 5 | N
| **c**  | 2 | 4 | 4 | 2 | 4 | 4 | min 2, max 4 | E
| **s**  | 5 | 4 | 5 | 5 | 5 | 5 | min 4, max 5 | N
| **n**  | 0 | 1 | 1 | 0 | 1 | 1 | range 1      | S
| **b**  | 0 | 1 | 0 | 1 | 1 | 1 | range 1      | S
| **ec** | 1 | 3 | 1 | 1 | 1 | 1 | min 1, max 3 | E
| **ac** | 4 | 3 | 2 | 4 | 3 | 3 | min 2, max 4 | E
| **dd** | 1 | 5 | 4 | 5 | 4 | 4 | min 1, max 5 | E

---

#### Scenario 9

